tokenizer,protein_subtype,metric,n,mean,std,ci_lower,ci_upper,ci_width
raw_overlap_k3,NA-H3N2,effective_vocab_size,100,56.94581093148628,0.00760068520100448,56.93133692740394,56.959153969317924,0.027817041913984042
raw_overlap_k3,NA-H3N2,cpg_token_fraction,100,0.034336900417809464,6.036467412737235e-05,0.034234860349992687,0.03444632852662622,0.00021146817663353357
raw_overlap_k3,NA-H3N2,upa_token_fraction,100,0.1054532701480801,0.00010904029797324378,0.10524449956450127,0.10566330609916905,0.00041880653466777606
raw_overlap_k6,HA-H1N1,token_entropy_bits,100,10.139702392564617,0.0004328301894457616,10.138765736722638,10.140555573196572,0.0017898364739341588
raw_overlap_k6,HA-H1N1,effective_vocab_size,100,1128.1629168192503,0.33813673697251495,1127.4273842493033,1128.8313056156776,1.403921366374334
raw_overlap_k6,HA-H1N1,cpg_token_fraction,100,0.07426159682212942,0.00018755803336034608,0.07389313083914179,0.07461768284392871,0.0007245520047869242
raw_overlap_k6,HA-H1N1,upa_token_fraction,100,0.2737757165557339,0.0003910554195006933,0.27304658442915103,0.2745305303124116,0.0014839458832605623
raw_overlap_k6,HA-H3N2,token_entropy_bits,100,10.14713548568356,0.0006170082708270045,10.14602312128051,10.148355295954088,0.002332174673577825
raw_overlap_k6,HA-H3N2,effective_vocab_size,100,1134.0631569576292,0.48704989700885937,1133.182964378684,1135.0222124974514,1.8392481187675003
raw_overlap_k6,HA-H3N2,cpg_token_fraction,100,0.08831353690271834,0.00019120915046285853,0.08786234699490444,0.08863896899500712,0.0007766220001026725
raw_overlap_k6,HA-H3N2,upa_token_fraction,100,0.22943826174656007,0.00036311445024393176,0.2287846741057176,0.23011757774919805,0.0013329036434804598
raw_overlap_k6,NA-H1N1,token_entropy_bits,100,10.01192889850803,0.0005935939115094213,10.011050871507694,10.013290139362683,0.00223926785498918
raw_overlap_k6,NA-H1N1,effective_vocab_size,100,1032.5852921062904,0.42545898398329507,1031.953183862573,1033.562103564518,1.6089197019450694
raw_overlap_k6,NA-H1N1,cpg_token_fraction,100,0.08205262306144577,0.00017234081704290335,0.08174051933307117,0.08237119012123492,0.0006306707881637563
raw_overlap_k6,NA-H1N1,upa_token_fraction,100,0.2618766184290069,0.00013718709031278984,0.2616117596359448,0.26215867210450056,0.0005469124685557603
raw_overlap_k6,NA-H3N2,token_entropy_bits,100,10.034970563119819,0.0004836748004406924,10.033833343037195,10.035826604378741,0.001993261341546315
raw_overlap_k6,NA-H3N2,effective_vocab_size,100,1049.20319134582,0.35242067187233,1048.3764408062839,1049.8299151224985,1.4534743162146242
raw_overlap_k6,NA-H3N2,cpg_token_fraction,100,0.08593255667604335,0.00013473492379824226,0.0856813703522893,0.08621244081929673,0.0005310704670074273
raw_overlap_k6,NA-H3N2,upa_token_fraction,100,0.24113795061970095,0.00024412437272735974,0.24066679131461804,0.24162445133788837,0.0009576600232703292
